Gene,adj.P.Val,P.Value,t,B,logFC
SLC4A10,0.99,0.818525,0.2321745,-5.01,0.01340952
HLA-E,0.99,0.818556,0.2321346,-5.01,0.01560211
NFYC,0.99,0.818723,0.2319164,-5.01,0.02288909
LOC101060835///HLA-DQB1,0.99,0.818773,0.2318523,-5.01,0.0477406
NRG1,0.99,0.818774,0.2318507,-5.01,0.01443558
IDH3A,0.99,0.818777,-0.231846,-5.01,-0.0296123
IGSF9B,0.99,0.818833,0.2317732,-5.01,0.01868987
UROD,0.99,0.818918,0.2316627,-5.01,0.02455649
DERL1,0.99,0.818994,0.2315635,-5.01,0.02158918
MEF2C,0.99,0.818997,0.2315594,-5.01,0.02111478
PIN4,0.99,0.819074,0.2314596,-5.01,0.01828704
PEBP1,0.99,0.819139,0.2313752,-5.01,0.0256918
CHST3,0.99,0.819168,0.2313375,-5.01,0.01908298
ZC2HC1A,0.99,0.819199,-0.231297,-5.01,-0.0295002
MED16,0.99,0.819209,0.2312838,-5.01,0.01764779
CD28,0.99,0.819242,-0.2312403,-5.01,-0.01596632
TRIM27,0.99,0.819251,0.2312291,-5.01,0.01769638
GTPBP6,0.99,0.819265,-0.2312111,-5.01,-0.02329092
EFHD1,0.99,0.819514,-0.2308858,-5.01,-0.01706896
KIAA0485,0.99,0.819593,-0.2307835,-5.01,-0.01598721
ZCCHC6,0.99,0.819597,0.2307774,-5.01,0.02195816
HUWE1,0.99,0.8196,-0.2307744,-5.01,-0.01632323
PTK2B,0.99,0.819635,0.2307286,-5.01,0.02042918
KIAA1614,0.99,0.819649,0.2307102,-5.01,0.02428131
CLP1,0.99,0.819814,-0.2304954,-5.01,-0.0205687
ATP5O,0.99,0.819859,0.2304364,-5.01,0.05557809
CDH6,0.99,0.81987,-0.230422,-5.01,-0.01328635
STXBP1,0.99,0.819899,0.2303843,-5.01,0.03294806
RARRES1,0.99,0.819901,0.2303812,-5.01,0.02079897
DKK3,0.99,0.819924,-0.2303518,-5.01,-0.01612511
TRIM28,0.99,0.819941,-0.23033,-5.01,-0.02828264
TMEM151B,0.99,0.819947,-0.2303218,-5.01,-0.02447572
SPOP,0.99,0.819952,-0.230315,-5.01,-0.02296829
RIPK2,0.99,0.819975,0.2302854,-5.01,0.02281914
CRADD,0.99,0.820021,-0.2302247,-5.01,-0.01334448
ZNF451,0.99,0.820112,-0.230107,-5.01,-0.02663946
EML3,0.99,0.820155,-0.2300513,-5.01,-0.02802062
PMAIP1,0.99,0.820178,0.2300212,-5.01,0.03409042
TMEM41B,0.99,0.820315,-0.2298419,-5.01,-0.02873473
MIR4738///H3F3B///H3F3A,0.99,0.820317,0.22984,-5.01,0.02562437
PEX1,0.99,0.820344,-0.2298038,-5.01,-0.02284169
,0.99,0.820387,-0.2297481,-5.01,-0.01209865
FAM30A,0.99,0.820388,-0.2297468,-5.01,-0.03666821
PUS1,0.99,0.820427,-0.2296964,-5.01,-0.02246313
LOC101928269///LOC100506403///RUNX1,0.99,0.82046,0.2296529,-5.01,0.02801242
SLC43A1,0.99,0.820548,0.229538,-5.01,0.01701698
HSDL2,0.99,0.820616,0.2294506,-5.01,0.02216082
INCENP,0.99,0.820707,-0.229332,-5.01,-0.02279377
,0.99,0.820771,-0.2292481,-5.01,-0.01664369
EPS15L1,0.99,0.820813,-0.2291929,-5.01,-0.02496014
BTRC,0.99,0.820849,0.2291462,-5.01,0.0178628
SPAM1,0.99,0.82094,-0.2290285,-5.01,-0.02036583
BSDC1,0.99,0.820959,-0.2290028,-5.01,-0.01749706
ECHDC2,0.99,0.820991,0.2289609,-5.01,0.01927052
NOL7,0.99,0.820997,-0.2289532,-5.01,-0.02592187
DLG1,0.99,0.821005,-0.2289434,-5.01,-0.02589312
CLDN15,0.99,0.821015,0.22893,-5.01,0.01411242
GAPDH,0.99,0.821017,0.2289274,-5.01,0.01820106
NRIP3,0.99,0.821041,0.2288969,-5.01,0.01279817
GNAS,0.99,0.821091,-0.228831,-5.01,-0.01925707
POLR2H,0.99,0.821161,0.2287407,-5.01,0.01989961
MAP2K5,0.99,0.821164,0.2287362,-5.01,0.01732645
PMFBP1,0.99,0.821267,-0.2286025,-5.01,-0.02037864
LRCH1,0.99,0.821472,0.2283347,-5.01,0.02559702
LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1,0.99,0.821562,0.228218,-5.01,0.0226161
IL37,0.99,0.821565,-0.2282137,-5.01,-0.01425502
HLA-DQB2,0.99,0.821567,-0.2282108,-5.01,-0.02183995
EIF2AK1,0.99,0.821606,0.2281599,-5.01,0.04562158
OSGIN2,0.99,0.821631,0.2281279,-5.01,0.01464772
SNX4,0.99,0.821733,-0.2279954,-5.01,-0.03053336
SNX1,0.99,0.821743,0.2279827,-5.01,0.01681266
CLDN3,0.99,0.821754,-0.2279672,-5.01,-0.01855268
ATP2A3,0.99,0.821794,0.2279159,-5.01,0.02706408
MIR3916,0.99,0.821795,0.2279138,-5.01,0.01416862
TBC1D22B,0.99,0.821872,0.2278137,-5.01,0.02627335
ZFP64,0.99,0.821938,-0.2277277,-5.01,-0.03028574
GAP43,0.99,0.822072,0.2275541,-5.01,0.0191359
SVIL,0.99,0.822079,0.2275445,-5.01,0.01894302
,0.99,0.822113,0.2275007,-5.01,0.01695726
HIST1H2AE,0.99,0.822162,0.2274368,-5.01,0.0291111
PYGO1,0.99,0.82224,0.2273348,-5.01,0.01557579
NCKIPSD,0.99,0.82226,0.2273087,-5.01,0.01725078
ADCK2,0.99,0.822298,-0.2272597,-5.01,-0.02155871
TACC2,0.99,0.822303,-0.2272532,-5.01,-0.02080717
PHF20,0.99,0.82249,0.22701,-5.01,0.01986117
PRELID3A,0.99,0.822501,0.2269947,-5.01,0.01775589
FZD2,0.99,0.822562,0.2269158,-5.01,0.01669779
CYP2E1,0.99,0.822601,-0.2268643,-5.01,-0.01866298
NFKBIB,0.99,0.822658,-0.2267903,-5.01,-0.01779056
GRK6,0.99,0.82266,0.2267885,-5.01,0.01544647
HOXC5,0.99,0.822685,-0.2267551,-5.01,-0.02213721
ENSA,0.99,0.822771,0.2266429,-5.01,0.0180676
MIR6787///SLC16A3,0.99,0.822783,-0.2266283,-5.01,-0.0609293
BRD4,0.99,0.8228,-0.2266064,-5.01,-0.02199416
DAAM2,0.99,0.822814,0.2265873,-5.01,0.03425851
ATPAF2,0.99,0.822842,-0.2265516,-5.01,-0.01823874
RGS1,0.99,0.822859,0.2265288,-5.01,0.01735594
PRCC,0.99,0.822874,-0.2265089,-5.01,-0.02525601
CDC27,0.99,0.822932,0.2264343,-5.01,0.02535839
ARHGAP26,0.99,0.823028,0.2263087,-5.01,0.01667526
CXADR,0.99,0.823062,0.2262643,-5.01,0.01778016
PLGRKT,0.99,0.823129,0.2261777,-5.01,0.02577128
RAI14,0.99,0.8232,-0.2260851,-5.01,-0.01543903
PLIN3,0.99,0.823281,0.2259795,-5.01,0.03004827
TSPAN7,0.99,0.823284,0.225976,-5.01,0.02150445
GPX2,0.99,0.82329,-0.2259682,-5.01,-0.01535473
PSMA1,0.99,0.823339,-0.2259035,-5.01,-0.03193741
ADGRG3,0.99,0.823387,-0.2258412,-5.01,-0.04109812
CALB2,0.99,0.823448,-0.2257622,-5.01,-0.01812787
ADAP1,0.99,0.823455,0.2257529,-5.01,0.02122049
PSPH,0.99,0.823503,-0.2256912,-5.01,-0.05183039
ABO,0.99,0.823508,-0.2256844,-5.01,-0.0238771
ABCA1,0.99,0.823608,0.2255539,-5.01,0.04835224
PRB4,0.99,0.823623,-0.2255344,-5.01,-0.01903086
SEBOX///VTN,0.99,0.823705,0.2254278,-5.01,0.01634855
AMZ2,0.99,0.823717,-0.225412,-5.01,-0.02642522
ADCK2,0.99,0.823726,0.2254001,-5.01,0.01722493
LOC101929240///SNRNP200,0.99,0.823743,-0.2253781,-5.01,-0.01521239
TGFBR2,0.99,0.823768,-0.2253454,-5.01,-0.02222385
MSL2,0.99,0.823804,0.2252989,-5.01,0.02095418
PYGM,0.99,0.823807,-0.2252944,-5.01,-0.01899362
MRPS12,0.99,0.823812,-0.2252891,-5.01,-0.01972051
RETN,0.99,0.82382,-0.2252781,-5.01,-0.02335525
ASPM,0.99,0.823853,0.2252353,-5.01,0.01108711
ARPC3,0.99,0.823984,0.2250646,-5.01,0.0400136
CDHR2,0.99,0.824026,0.2250096,-5.01,0.0160193
RAB7A,0.99,0.824317,-0.224631,-5.02,-0.02977371
,0.99,0.824394,0.2245308,-5.02,0.01496196
,0.99,0.824442,0.2244685,-5.02,0.06205821
CYP4F11,0.99,0.824447,-0.2244616,-5.02,-0.01573839
RNASE4,0.99,0.824466,-0.2244367,-5.02,-0.0184752
PFKFB3,0.99,0.824513,0.2243758,-5.02,0.03183098
PARM1,0.99,0.824523,0.2243627,-5.02,0.0184361
LRP5L,0.99,0.82457,0.224302,-5.02,0.0161571
ZGPAT,0.99,0.824621,-0.2242352,-5.02,-0.01502519
STAG3L4,0.99,0.824627,-0.224228,-5.02,-0.01752779
WFDC8,0.99,0.824627,0.2242272,-5.02,0.01936512
SP100,0.99,0.824632,0.2242215,-5.02,0.01506681
APLP2,0.99,0.824666,-0.2241773,-5.02,-0.02466793
CASR,0.99,0.824669,-0.2241732,-5.02,-0.01863236
FKBP3,0.99,0.824709,0.224121,-5.02,0.02908587
,0.99,0.824871,0.2239104,-5.02,0.02018666
TYW1,0.99,0.824944,0.2238149,-5.02,0.01810536
BFSP2,0.99,0.82506,0.2236645,-5.02,0.01940651
ELOVL6,0.99,0.825068,0.2236544,-5.02,0.01615639
CCHCR1,0.99,0.825079,0.2236395,-5.02,0.01083815
LPXN,0.99,0.825101,-0.2236113,-5.02,-0.03447943
PMS2P4,0.99,0.825147,-0.2235517,-5.02,-0.01895764
CHRNA1,0.99,0.825236,-0.2234361,-5.02,-0.01733036
HNMT,0.99,0.825252,0.2234153,-5.02,0.01793852
CCDC69,0.99,0.825259,-0.2234062,-5.02,-0.02440205
CLDND1,0.99,0.825307,-0.2233432,-5.02,-0.04565258
STAP2,0.99,0.825371,-0.2232596,-5.02,-0.01500697
PITPNB,0.99,0.825405,-0.2232161,-5.02,-0.01756773
ZNF384,0.99,0.825464,0.2231391,-5.02,0.01570826
TMPRSS11E,0.99,0.825478,-0.2231207,-5.02,-0.01605697
RAP2C,0.99,0.825494,0.2231,-5.02,0.04261303
GNRHR,0.99,0.825548,-0.22303,-5.02,-0.01411319
NEBL,0.99,0.825558,0.2230166,-5.02,0.01955354
SHANK2,0.99,0.825598,-0.2229644,-5.02,-0.02007828
PPP1CB,0.99,0.825605,0.2229559,-5.02,0.03633766
MIR4680///PDCD4,0.99,0.825616,-0.2229418,-5.02,-0.04453673
STK10,0.99,0.825642,-0.2229073,-5.02,-0.01994
PHOX2A,0.99,0.825739,0.2227807,-5.02,0.01978579
CCDC130,0.99,0.825742,-0.2227773,-5.02,-0.01315737
COL5A2,0.99,0.825743,0.2227763,-5.02,0.01613536
TSC22D2,0.99,0.825797,0.2227062,-5.02,0.02012014
ZNF334,0.99,0.825867,-0.2226147,-5.02,-0.01210413
SEMA3C,0.99,0.825903,-0.2225675,-5.02,-0.01527748
RBM12B,0.99,0.825918,0.2225488,-5.02,0.01401749
LAPTM5,0.99,0.825936,-0.2225254,-5.02,-0.02749967
ATP2C2,0.99,0.825988,0.2224568,-5.02,0.01613035
SORT1,0.99,0.826011,0.2224279,-5.02,0.020542
ICOSLG,0.99,0.826017,0.2224194,-5.02,0.02413688
CYP3A43,0.99,0.826075,0.2223445,-5.02,0.01645494
TUBB2B///TUBB2A,0.99,0.826215,0.2221625,-5.02,0.03038831
PAMR1,0.99,0.82626,0.2221033,-5.02,0.01985021
ZNF34,0.99,0.826364,-0.2219686,-5.02,-0.01663465
BAZ2A,0.99,0.826409,-0.2219092,-5.02,-0.02287087
E2F1,0.99,0.826457,0.2218473,-5.02,0.01592937
INO80B-WBP1///INO80B,0.99,0.826462,0.2218413,-5.02,0.01991482
PSD3,0.99,0.826487,0.2218079,-5.02,0.01576908
RNASE1,0.99,0.826528,-0.2217545,-5.02,-0.01638818
SLC15A3,0.99,0.82653,0.2217528,-5.02,0.02506547
MRPS14,0.99,0.826561,0.2217116,-5.02,0.02054167
SYT2,0.99,0.826617,-0.2216387,-5.02,-0.0213243
EIF3J,0.99,0.826676,-0.221563,-5.02,-0.02080336
,0.99,0.826962,-0.2211901,-5.02,-0.0124737
,0.99,0.826968,0.2211835,-5.02,0.02925358
AP1S1,0.99,0.827001,0.2211398,-5.02,0.02108655
BNIP3L,0.99,0.827038,0.2210917,-5.02,0.04533281
LOC100507855///AK4,0.99,0.827057,-0.2210666,-5.02,-0.01527004
SBNO2,0.99,0.827129,0.2209729,-5.02,0.03239417
HTATIP2,0.99,0.827207,0.2208724,-5.02,0.0278008
SMPD1,0.99,0.82721,0.2208686,-5.02,0.01335707
PRR14L,0.99,0.827328,-0.2207145,-5.02,-0.01360602
BCAR3,0.99,0.82733,0.2207117,-5.02,0.01186514
FASTK,0.99,0.827341,-0.2206979,-5.02,-0.01379566
LOC729966///PDE4C,0.99,0.827424,0.2205894,-5.02,0.02520924
,0.99,0.827445,0.2205628,-5.02,0.01327319
HLA-DMA,0.99,0.827452,0.2205534,-5.02,0.02968865
HS2ST1,0.99,0.827462,-0.2205408,-5.02,-0.0427556
MGAM,0.99,0.827493,-0.2205004,-5.02,-0.05552006
GCDH,0.99,0.827573,0.2203957,-5.02,0.01730914
MIR7110///PDIA5,0.99,0.827608,0.2203514,-5.02,0.01495185
GLP1R,0.99,0.827639,0.22031,-5.02,0.01940141
GOLGA3,0.99,0.827733,-0.2201877,-5.02,-0.01466541
P2RX4,0.99,0.827839,0.2200507,-5.02,0.01986713
CDC37,0.99,0.827877,0.2200007,-5.02,0.02242112
HMGXB3,0.99,0.827886,-0.2199896,-5.02,-0.01769629
USP2,0.99,0.82802,-0.2198158,-5.02,-0.0201386
PTPRF,0.99,0.828059,0.219765,-5.02,0.01700106
TOR1AIP1,0.99,0.828096,-0.2197163,-5.02,-0.02130594
KLHL24,0.99,0.828179,0.2196089,-5.02,0.01557698
PAWR,0.99,0.82826,0.2195032,-5.02,0.0137675
HLCS,0.99,0.828321,-0.2194238,-5.02,-0.02348037
LEPROT///LEPR,0.99,0.828526,0.2191576,-5.02,0.01868706
,0.99,0.828531,-0.2191516,-5.02,-0.02228422
VPS28,0.99,0.828591,-0.2190736,-5.02,-0.01723909
ZIC4,0.99,0.828803,-0.2187978,-5.02,-0.01853666
NPR2,0.99,0.828831,0.218761,-5.02,0.01517897
UTP18,0.99,0.828841,-0.2187486,-5.02,-0.03816466
HTR1B,0.99,0.828857,-0.2187273,-5.02,-0.01848087
PAK4,0.99,0.828884,-0.2186923,-5.02,-0.02347908
SOGA1,0.99,0.828905,-0.218665,-5.02,-0.01434088
GAS2L1,0.99,0.828955,-0.2185996,-5.02,-0.02217679
PPFIBP1,0.99,0.82896,-0.2185938,-5.02,-0.01959219
ERP29,0.99,0.829005,-0.2185348,-5.02,-0.02296686
WNT4,0.99,0.829022,0.2185125,-5.02,0.02153945
ACE,0.99,0.829031,0.2185012,-5.02,0.01978087
ZFYVE9,0.99,0.829054,0.2184709,-5.02,0.01615877
PRLR,0.99,0.829094,0.2184197,-5.02,0.01255875
TM4SF1,0.99,0.829102,0.2184084,-5.02,0.01237144
GNAI3,0.99,0.829106,-0.2184038,-5.02,-0.02545691
AVPR1A,0.99,0.829107,0.2184023,-5.02,0.01122653
MARK3,0.99,0.829215,-0.2182624,-5.02,-0.02009058
CFHR1///CFH,0.99,0.829286,-0.2181698,-5.02,-0.01914601
DLGAP2,0.99,0.829295,0.2181577,-5.02,0.01897383
MTMR3,0.99,0.829333,0.2181091,-5.02,0.02072916
NOVA1,0.99,0.82937,0.2180608,-5.02,0.01243966
,0.99,0.829484,-0.2179122,-5.02,-0.01938353
MAK16,0.99,0.829548,-0.2178291,-5.02,-0.02063665
PTP4A1,0.99,0.82957,-0.2178011,-5.02,-0.03146443
OTUD4,0.99,0.829585,-0.2177814,-5.02,-0.01836953
CTSC,0.99,0.829612,-0.2177468,-5.02,-0.02801361
FOLR1,0.99,0.829655,-0.2176907,-5.02,-0.03753786
PPY2P,0.99,0.829718,0.2176087,-5.02,0.03166227
ENPP3,0.99,0.829895,-0.2173782,-5.02,-0.01838303
NUP62,0.99,0.829908,-0.2173623,-5.02,-0.02321224
ERCC2,0.99,0.830109,0.2171006,-5.02,0.02206745
BMS1P21///MBL1P,0.99,0.830161,0.2170329,-5.02,0.02036905
TSSK2///DGCR14,0.99,0.830353,-0.2167841,-5.02,-0.01934872
MIR6840///STAG3L5P-PVRIG2P-PILRB///PILRB,0.99,0.830581,-0.2164876,-5.02,-0.0275589
MED14,0.99,0.8306,-0.2164626,-5.02,-0.01273186
SNHG17,0.99,0.830606,0.2164548,-5.02,0.03622575
SRSF6,0.99,0.830681,-0.2163574,-5.02,-0.04267278
BTN3A2,0.99,0.830684,0.2163542,-5.02,0.04104052
BCL2L1,0.99,0.830727,0.2162973,-5.02,0.03160396
TK2,0.99,0.830763,0.2162517,-5.02,0.01495624
DCT,0.99,0.830764,0.2162501,-5.02,0.01041358
LETMD1,0.99,0.830776,-0.2162345,-5.02,-0.02143736
EPB41,0.99,0.830776,-0.2162343,-5.02,-0.02752118
PRMT2,0.99,0.830793,-0.2162123,-5.02,-0.0254004
RHEB,0.99,0.83082,0.216177,-5.02,0.02731509
PAPOLA,0.99,0.830822,0.2161752,-5.02,0.02073889
GRB10,0.99,0.830921,-0.2160465,-5.02,-0.01722369
PGAP3,0.99,0.830979,0.2159702,-5.02,0.01675739
DIMT1,0.99,0.831005,-0.2159363,-5.02,-0.0287775
MYOZ1,0.99,0.831053,0.2158745,-5.02,0.02489138
ROCK1,0.99,0.831067,-0.2158564,-5.02,-0.03059111
RBMS2,0.99,0.831082,-0.2158372,-5.02,-0.01822457
VAPB,0.99,0.831082,-0.215837,-5.02,-0.01932335
ZNF137P,0.99,0.831099,-0.2158142,-5.02,-0.02838383
LOC101927792,0.99,0.831119,0.2157885,-5.02,0.01117973
TUBD1,0.99,0.831314,0.2155351,-5.02,0.01965933
PIP4K2C,0.99,0.831325,-0.2155214,-5.02,-0.01350861
ZNF446,0.99,0.831349,0.2154907,-5.02,0.01918769
CHIA,0.99,0.831419,-0.2153987,-5.02,-0.0168499
CSH2///CSH1,0.99,0.831434,0.2153801,-5.02,0.01588979
RAB28,0.99,0.831475,0.2153261,-5.02,0.03184509
STAP1,0.99,0.83148,0.2153198,-5.02,0.03459983
,0.99,0.831514,-0.2152759,-5.02,-0.01615973
EHBP1L1,0.99,0.831524,0.2152628,-5.02,0.02612376
ULK2,0.99,0.831613,0.215148,-5.02,0.01957259
SLC25A40,0.99,0.831622,0.215136,-5.02,0.02093477
HADH,0.99,0.831637,-0.2151166,-5.02,-0.02172828
TP53,0.99,0.831669,0.215074,-5.02,0.02148385
AKAP17A,0.99,0.831699,0.2150361,-5.02,0.01785345
PILRA,0.99,0.831725,0.2150023,-5.02,0.0329813
BRINP1,0.99,0.831788,0.2149195,-5.02,0.01537914
SPC25,0.99,0.831806,-0.2148962,-5.02,-0.0131556
GART,0.99,0.83186,0.2148263,-5.02,0.01223154
GPS2,0.99,0.831877,0.2148042,-5.02,0.01185613
PDHA2,0.99,0.831931,0.2147345,-5.02,0.02030177
GDF3,0.99,0.831956,0.2147022,-5.02,0.01719513
CDH7,0.99,0.83196,-0.2146974,-5.02,-0.01873221
PRO2949,0.99,0.832013,-0.2146275,-5.02,-0.02034011
DENND5A,0.99,0.832029,0.2146073,-5.02,0.028055
TLR1,0.99,0.832117,-0.2144936,-5.02,-0.03828974
H1F0,0.99,0.832209,0.2143741,-5.02,0.03574309
SPATA31C2,0.99,0.832218,0.2143613,-5.02,0.01557822
PLCH1,0.99,0.832258,0.2143098,-5.02,0.01810875
RASSF7,0.99,0.832284,0.214276,-5.02,0.01481304
LOC729966///PDE4C,0.99,0.83231,0.2142426,-5.02,0.01441984
RAB27A,0.99,0.832331,-0.2142152,-5.02,-0.03620234
MFNG,0.99,0.832372,0.2141613,-5.02,0.02353468
PAX5,0.99,0.83245,0.2140611,-5.02,0.02226176
DLC1,0.99,0.832461,0.2140467,-5.02,0.0148042
IFNA7,0.99,0.832463,0.2140433,-5.02,0.01245484
TWSG1,0.99,0.832466,-0.2140405,-5.02,-0.01587062
ARHGDIA,0.99,0.832609,0.2138547,-5.02,0.01432066
C21orf2,0.99,0.832667,-0.2137785,-5.02,-0.02169352
ZNF133,0.99,0.832692,0.2137462,-5.02,0.01479807
CLTB,0.99,0.832727,0.213701,-5.02,0.0200058
CCDC170,0.99,0.83276,0.2136579,-5.02,0.01847296
OBP2A///OBP2B,0.99,0.832824,0.2135757,-5.02,0.02957845
TMEM50B,0.99,0.832861,-0.2135278,-5.02,-0.02600555
HACD2,0.99,0.83288,-0.213503,-5.02,-0.02711363
LMF2,0.99,0.832938,0.2134278,-5.02,0.01316957
LOC100507424///ITFG2,0.99,0.833051,-0.213281,-5.02,-0.01463366
ITPK1,0.99,0.833099,0.2132183,-5.02,0.01509638
,0.99,0.833124,-0.2131858,-5.02,-0.01918783
DNAJC16,0.99,0.83317,-0.2131258,-5.02,-0.02635622
CYB5B,0.99,0.833262,0.2130061,-5.02,0.01473222
TEF,0.99,0.833288,0.2129725,-5.02,0.02154708
KDM4D,0.99,0.833323,0.2129278,-5.02,0.01393693
SMYD5,0.99,0.833349,-0.2128941,-5.02,-0.01747422
RRP15,0.99,0.833385,-0.2128468,-5.02,-0.02262354
CCDC88C,0.99,0.833411,0.2128128,-5.02,0.03311234
LOC101930602///SLC14A2,0.99,0.833464,0.2127443,-5.02,0.0181994
NFIB,0.99,0.833465,-0.212743,-5.02,-0.01778204
BCAP31,0.99,0.833468,0.2127395,-5.02,0.02036419
NOD2,0.99,0.83348,-0.2127244,-5.02,-0.03605523
NRG1,0.99,0.833487,-0.2127148,-5.02,-0.05356412
ADGRA2,0.99,0.83355,-0.2126335,-5.02,-0.01205778
HLA-B,0.99,0.8336,0.2125684,-5.02,0.01179275
TBC1D1,0.99,0.83366,-0.2124903,-5.02,-0.02221656
NCAM1,0.99,0.833674,-0.2124722,-5.02,-0.02430835
ZP2,0.99,0.833735,0.2123931,-5.02,0.01986179
FOLH1B///FOLH1,0.99,0.833823,0.2122781,-5.02,0.01620159
SMARCA2,0.99,0.834209,0.2117772,-5.02,0.02308145
SLC22A14,0.99,0.8343,-0.2116591,-5.02,-0.01470242
TFPI,0.99,0.834354,0.2115897,-5.02,0.01783955
GPR39,0.99,0.834463,0.2114482,-5.02,0.0174901
NCDN,0.99,0.834489,0.2114149,-5.02,0.01954775
CCL15-CCL14///CCL15,0.99,0.834493,0.2114097,-5.02,0.01238101
SH3YL1,0.99,0.834542,0.2113452,-5.02,0.04091129
MOB1A,0.99,0.834623,0.2112411,-5.02,0.01860037
SUMO1,0.99,0.834659,-0.2111937,-5.02,-0.01791291
LOC647070,0.99,0.834687,-0.2111581,-5.02,-0.01184368
NTN3,0.99,0.834694,0.2111484,-5.02,0.02362399
YTHDC2,0.99,0.834723,0.2111115,-5.02,0.01355877
C6orf62,0.99,0.834734,0.2110962,-5.02,0.0168977
GRIK5,0.99,0.834834,-0.2109669,-5.02,-0.01884604
USP21,0.99,0.834838,-0.2109617,-5.02,-0.01826186
ETV5,0.99,0.834946,0.2108211,-5.02,0.0134481
UFC1,0.99,0.834954,0.2108106,-5.02,0.02908974
RASSF9,0.99,0.834962,0.2108011,-5.02,0.01188688
RBM42,0.99,0.834972,0.2107876,-5.02,0.01939201
FUT6,0.99,0.834993,-0.2107607,-5.02,-0.01639915
FAM160B2,0.99,0.835013,-0.2107354,-5.02,-0.01534939
FAM192A,0.99,0.835109,0.2106105,-5.02,0.01501298
UBD///GABBR1,0.99,0.835154,0.2105523,-5.02,0.01849284
SCAMP2,0.99,0.835156,-0.2105494,-5.02,-0.01531773
CAPN10,0.99,0.835265,-0.2104073,-5.02,-0.01253166
PSG9,0.99,0.835268,0.2104037,-5.02,0.02074656
CBX8,0.99,0.835281,0.2103873,-5.02,0.01411328
RAP2C,0.99,0.835348,0.2103006,-5.02,0.04091039
TMX2,0.99,0.835362,-0.2102824,-5.02,-0.02419033
UPB1,0.99,0.835422,-0.2102045,-5.02,-0.01607504
CDC45,0.99,0.835438,0.2101828,-5.02,0.01906071
LOC101930322///ABCC6,0.99,0.835556,0.2100307,-5.02,0.01855822
EXOG,0.99,0.835564,0.2100203,-5.02,0.01295733
ICMT,0.99,0.835989,0.2094692,-5.02,0.01442137
C2orf27A,0.99,0.836042,-0.2094006,-5.02,-0.02041173
FAM107A,0.99,0.836083,-0.2093473,-5.02,-0.01966081
PCOLCE2,0.99,0.836124,-0.2092937,-5.02,-0.01888654
YEATS2,0.99,0.836173,-0.2092297,-5.02,-0.01507039
MBNL1,0.99,0.836207,-0.2091866,-5.02,-0.02831946
LOC102725263///LOC389906,0.99,0.836306,0.2090582,-5.02,0.01603498
GSS,0.99,0.836355,-0.2089941,-5.02,-0.01147361
SHMT2,0.99,0.836373,-0.2089711,-5.02,-0.01728115
NT5C1B-RDH14///RDH14,0.99,0.836399,0.2089375,-5.02,0.02043948
CASR,0.99,0.836438,0.2088869,-5.02,0.01884422
GDF5,0.99,0.836488,0.2088212,-5.02,0.01733241
RAPGEF5,0.99,0.836522,-0.2087774,-5.02,-0.01313779
ATP2A3,0.99,0.83653,-0.2087679,-5.02,-0.03462276
LOC100996756,0.99,0.836532,-0.2087648,-5.02,-0.04986773
DIDO1,0.99,0.836598,-0.2086788,-5.02,-0.01457758
ATP9B,0.99,0.836609,0.2086644,-5.02,0.01493645
CHRNA3,0.99,0.836658,-0.208602,-5.02,-0.01551437
TMEM259,0.99,0.836662,-0.2085967,-5.02,-0.02744808
CDX1,0.99,0.836779,-0.208445,-5.02,-0.0172492
LRP10,0.99,0.836811,0.2084023,-5.02,0.0204382
CPD,0.99,0.836846,0.2083575,-5.02,0.03640518
LOC101930416///LOC101929792///LOC100996724///PDE4DIP,0.99,0.836885,0.2083064,-5.02,0.02117844
HNRNPA3P1,0.99,0.836921,0.2082609,-5.02,0.01175518
STRADA,0.99,0.836947,-0.2082267,-5.02,-0.0130312
KRT83,0.99,0.836961,0.2082085,-5.02,0.0177557
ZNF143,0.99,0.836993,0.2081673,-5.02,0.02051716
BEAN1,0.99,0.837019,0.2081337,-5.02,0.01593981
MAPK14,0.99,0.837124,0.2079969,-5.02,0.03137693
TM2D1,0.99,0.837129,-0.2079907,-5.02,-0.03379989
OAZ3,0.99,0.837158,0.2079528,-5.02,0.02004662
PDCD1LG2,0.99,0.837207,-0.2078894,-5.02,-0.02125478
ZNF576,0.99,0.837226,0.2078646,-5.02,0.01306467
,0.99,0.837414,0.2076215,-5.02,0.01341538
PARP11,0.99,0.837428,0.2076035,-5.02,0.01367536
PAQR5,0.99,0.837433,0.2075971,-5.02,0.01518579
NMD3,0.99,0.837455,0.2075681,-5.02,0.01624956
MMP19,0.99,0.837467,-0.2075527,-5.02,-0.01605306
NOS1,0.99,0.837512,-0.2074939,-5.02,-0.01734591
TAOK2,0.99,0.837571,-0.2074176,-5.02,-0.01627312
CIAO1,0.99,0.837622,0.2073512,-5.02,0.01882
B3GNT3,0.99,0.837686,0.2072681,-5.02,0.01705761
BRD3,0.99,0.83771,0.2072381,-5.02,0.01788511
ZCCHC10,0.99,0.837719,0.2072254,-5.02,0.03706403
CFDP1,0.99,0.837728,-0.2072139,-5.02,-0.03226485
GMPS,0.99,0.837771,0.2071585,-5.02,0.01877656
CDK14,0.99,0.837889,-0.2070053,-5.02,-0.01508346
