Gene symbol	Aliases	Description	Disease count
DCLRE1C	A-SCID, DCLREC1C, RS-SCID, SCIDA, SNM1C	DNA cross-link repair 1C	3	
CSMD1	PPP1R24	CUB and Sushi multiple domains 1	3	
CLEC7A	BGR, CANDF4, CD369, CLECSF12, DECTIN1	C-type lectin domain family 7, member A	3	
GPR135	HUMNPIIY20	G protein-coupled receptor 135	2	
GINGF2	GGF2, HGF2	gingival fibromatosis, hereditary, 2	1	
SLEB3		systemic lupus erythematosus susceptibility 3	1	
NUCKS1	JC7, NUCKS	nuclear casein kinase and cyclin-dependent kinase substrate 1	1	
MFSD1	SMAP4	major facilitator superfamily domain containing 1	1	
SMURF2		SMAD specific E3 ubiquitin protein ligase 2	2	
CRTC3	TORC-3, TORC3	CREB regulated transcription coactivator 3	1	
IL25	IL17E	interleukin 25	8	
DCLRE1B	APOLLO, SNM1B, SNMIB	DNA cross-link repair 1B	1	
PAPOLG		poly(A) polymerase gamma	1	
BCL11B	ATL1, ATL1-alpha, ATL1-beta, ATL1-delta, ATL1-gamma, CTIP-2, CTIP2, RIT1, ZNF856B, hRIT1-alpha	B-cell CLL/lymphoma 11B (zinc finger protein)	3	
PINK1	BRPK, PARK6	PTEN induced putative kinase 1	2	
PSORS7		psoriasis susceptibility 7	1	
ZBTB10	RINZF	zinc finger and BTB domain containing 10	1	
DDRGK1	C20orf116, UFBP1, dJ1187M17.3	DDRGK domain containing 1	1	
LYNX1	SLURP2	Ly6/neurotoxin 1	2	
CHID1	GL008, SI-CLP, SICLP	chitinase domain containing 1	1	
C7orf49	MRI	chromosome 7 open reading frame 49	1	
VKORC1	EDTP308, IMAGE3455200, MST134, MST576, VKCFD2, VKOR	vitamin K epoxide reductase complex, subunit 1	1	
DDA1	C19orf58, PCIA1	DET1 and DDB1 associated 1	2	
GGCT	C7orf24, CRF21, GCTG, GGC	gamma-glutamylcyclotransferase	2	
PRRG4	PRGP4, TMG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	1	
FTO	ALKBH9	fat mass and obesity associated	2	
CARD14	BIMP2, CARMA2, PRP, PSORS2, PSS1	caspase recruitment domain family, member 14	2	
MMP28	EPILYSIN, MM28, MMP-25, MMP-28, MMP25	matrix metallopeptidase 28	2	
FA2H	FAAH, FAH1, FAXDC1, SCS7, SPG35	fatty acid 2-hydroxylase	1	
CENPO	CENP-O, ICEN-36, MCM21R	centromere protein O	2	
MMEL1	MMEL2, NEP2, NEPII, NL1, NL2, SEP	membrane metallo-endopeptidase-like 1	6	
BHLHE41	BHLHB3, DEC2, SHARP1, hDEC2	basic helix-loop-helix family, member e41	1	
FCRL2	CD307b, FCRH2, IFGP4, IRTA4, SPAP1, SPAP1A, SPAP1B, SPAP1C	Fc receptor-like 2	3	
ULBP3	RAET1N	UL16 binding protein 3	1	
SPAG16	PF20, WDR29	sperm associated antigen 16	2	
RNF128	GRAIL	ring finger protein 128, E3 ubiquitin protein ligase	2	
RNASEH2B	AGS2, DLEU8	ribonuclease H2, subunit B	1	
TNFAIP8L2	TIPE2	tumor necrosis factor, alpha-induced protein 8-like 2	2	
RHBDF2	RHBDL5, RHBDL6, TEC, TOC, TOCG, iRhom2	rhomboid 5 homolog 2 (Drosophila)	1	
VTCN1	B7-H4, B7H4, B7S1, B7X, B7h.5, PRO1291, VCTN1	V-set domain containing T cell activation inhibitor 1	4	
CENPU	CENP50, CENPU50, KLIP1, MLF1IP, PBIP1	centromere protein U	1	
STEAP4	STAMP2, TIARP, TNFAIP9	STEAP family member 4	1	
LRRK1	RIPK6, Roco1	leucine-rich repeat kinase 1	1	
TBL1XR1	C21, DC42, IRA1, TBLR1	transducin (beta)-like 1 X-linked receptor 1	1	
ANKRD55		ankyrin repeat domain 55	3	
SUV39H2	KMT1B	suppressor of variegation 3-9 homolog 2 (Drosophila)	2	
ADGB	C6orf103, CAPN16	androglobin	1	
ZNF385D	ZNF659	zinc finger protein 385D	1	
ZNF750	ZFP750	zinc finger protein 750	1	
CCDC82	HSPC048	coiled-coil domain containing 82	1	
CLMN		calmin (calponin-like, transmembrane)	1	
CARF	ALS2CR8, NYD-SP24	calcium responsive transcription factor	1	
MOB3B	C9orf35, MOB1D, MOBKL2B	MOB kinase activator 3B	1	
QSER1		glutamine and serine rich 1	1	
PIP4K2C	PIP5K2C	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma	1	
NHEJ1	XLF	nonhomologous end-joining factor 1	1	
AGBL2	CCP2	ATP/GTP binding protein-like 2	1	
RABEP2	FRA	rabaptin, RAB GTPase binding effector protein 2	2	
THSD4	ADAMTSL-6, ADAMTSL6, FVSY9334, PRO34005	thrombospondin, type I, domain containing 4	1	
HDAC11	HD11	histone deacetylase 11	1	
ATP8B4	ATPIM	ATPase, class I, type 8B, member 4	1	
SPEF2	CT122, KPL2	sperm flagellar 2	1	
DOK3	DOKL	docking protein 3	1	
KIAA0319L		KIAA0319-like	2	
ADCK4	NPHS9	aarF domain containing kinase 4	1	
CNTNAP3	CASPR3, CNTNAP3A	contactin associated protein-like 3	1	
SCD5	ACOD4, FADS4, HSCD5, SCD2, SCD4	stearoyl-CoA desaturase 5	1	
ZNF767P	ZNF767	zinc finger family member 767, pseudogene	1	
WLS	C1orf139, EVI, GPR177, MRP, mig-14	wntless Wnt ligand secretion mediator	1	
GRHL2	BOM, DFNA28, ECTDS, TFCP2L3	grainyhead-like 2 (Drosophila)	2	
OBFC1	AAF-44, AAF44, RPA-32, STN1, bA541N10.2	oligonucleotide/oligosaccharide-binding fold containing 1	1	
ELOVL7		ELOVL fatty acid elongase 7	1	
NAA25	C12orf30, MDM20, NAP1	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	1	
PANK2	C20orf48, HARP, HSS, NBIA1, PKAN	pantothenate kinase 2	1	
TRPM3	GON-2, LTRPC3, MLSN2	transient receptor potential cation channel, subfamily M, member 3	1	
PGAP1	Bst1, ISPD3024, MRT42, SPG67	post-GPI attachment to proteins 1	1	
ARL14	ARF7	ADP-ribosylation factor-like 14	2	
RPF1	BXDC5	ribosome production factor 1 homolog (S. cerevisiae)	1	
ZC3H12A	MCPIP, MCPIP1, dJ423B22.1	zinc finger CCCH-type containing 12A	1	
CTC1	AAF-132, AAF132, C17orf68, CRMCC, tmp494178	CTS telomere maintenance complex component 1	1	
SPSB1	SSB-1, SSB1	splA/ryanodine receptor domain and SOCS box containing 1	1	
FBXO11	FBX11, PRMT9, UBR6, UG063H01, VIT1	F-box protein 11	1	
FHOD3	FHOS2, Formactin2	formin homology 2 domain containing 3	1	
OPA3	MGA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	1	
ARMC9	ARM, KU-MEL-1, NS21	armadillo repeat containing 9	1	
NUBPL	C14orf127, IND1, huInd1	nucleotide binding protein-like	1	
ITPKC	IP3-3KC, IP3KC	inositol-trisphosphate 3-kinase C	1	
SCUBE1		signal peptide, CUB domain, EGF-like 1	1	
PDGFD	IEGF, MSTP036, SCDGF-B, SCDGFB	platelet derived growth factor D	1	
TET1	CXXC6, LCX, MLL-TET1, TET1-MLL, bA119F7.1	tet methylcytosine dioxygenase 1	1	
CPEB4	CPE-BP4, hCPEB-4	cytoplasmic polyadenylation element binding protein 4	2	
ADAM33	C20orf153, DJ964F7.1	ADAM metallopeptidase domain 33	2	
KCNIP4	CALP, KCHIP4	Kv channel interacting protein 4	1	
PNPLA3	ADPN, C22orf20, iPLA(2)epsilon	patatin-like phospholipase domain containing 3	1	
PDCD1LG2	B7DC, Btdc, CD273, PD-L2, PDCD1L2, PDL2, bA574F11.2	programmed cell death 1 ligand 2	1	
CD276	4Ig-B7-H3, B7-H3, B7H3, B7RP-2	CD276 molecule	2	
TSGA10	CEP4L, CT79	testis specific, 10	2	
SRCIN1	P140, SNIP	SRC kinase signaling inhibitor 1	1	
TTYH3		tweety family member 3	1	
SLC44A4	C6orf29, CTL4, NG22, TPPT	solute carrier family 44, member 4	2	
NDFIP1	N4WBP5	Nedd4 family interacting protein 1	3	
COL18A1	KNO, KNO1, KS	collagen, type XVIII, alpha 1	4	
DUSP16	MKP-7, MKP7	dual specificity phosphatase 16	1	
TAS1R2	GPR71, T1R2, TR2	taste receptor, type 1, member 2	1	
KDM7A	JHDM1D	lysine (K)-specific demethylase 7A	1	
ZNRD1-AS1	C6orf12, HTEX4, NCRNA00171, TCTEX4, ZNRD1-AS, ZNRD1AS, ZNRD1AS1	ZNRD1 antisense RNA 1	1	
TMPRSS5	SPINESIN	transmembrane protease, serine 5	1	
KCNH6	ERG-2, ERG2, HERG2, Kv11.2, hERG-2	potassium channel, voltage gated eag related subfamily H, member 6	1	
COLEC12	CLP1, NSR2, SCARA4, SRCL	collectin sub-family member 12	1	
OR4A15	OR11-118	olfactory receptor, family 4, subfamily A, member 15	1	
OR4F16	OR1-1, OR7-21	olfactory receptor, family 4, subfamily F, member 16	1	
OR2G2	OR1-32	olfactory receptor, family 2, subfamily G, member 2	1	
CFHR5	CFHL5, CFHR5D, FHR-5, FHR5	complement factor H-related 5	2	
FBXO38	Fbx38, HMN2D, MOKA, SP329	F-box protein 38	1	
TXNDC5	ENDOPDI, ERP46, HCC-2, HCC2, PDIA15, STRF8, UNQ364	thioredoxin domain containing 5 (endoplasmic reticulum)	3	
LBH		limb bud and heart development	3	
PVRL4	EDSS1, LNIR, PRR4, nectin-4	poliovirus receptor-related 4	2	
TMEM163	DC29, SV31	transmembrane protein 163	1	
TSPAN14	DC-TM4F2, TM4SF14	tetraspanin 14	1	
DOCK8	HEL-205, MRD2, ZIR8	dedicator of cytokinesis 8	2	
ADAMTS12	PRO4389	ADAM metallopeptidase with thrombospondin type 1 motif, 12	1	
TLR10	CD290	toll-like receptor 10	3	
SPRY4	HH17	sprouty RTK signaling antagonist 4	1	
LPRS	LPRS1	Leprosy, susceptibility to 1	1	
SLC25A28	MFRN2, MRS3/4, MRS4L, NPD016	solute carrier family 25 (mitochondrial iron transporter), member 28	1	
ELOVL3	CIG-30, CIG30	ELOVL fatty acid elongase 3	1	
FCRL4	CD307d, FCRH4, IGFP2, IRTA1	Fc receptor-like 4	2	
AKR1E2	AKR1CL2, AKRDC1, LoopADR, hTSP, htAKR	aldo-keto reductase family 1, member E2	1	
RASSF5	Maxp1, NORE1, NORE1A, NORE1B, RAPL, RASSF3	Ras association (RalGDS/AF-6) domain family member 5	2	
BCL2L12		BCL2-like 12 (proline rich)	1	
TMEM47	BCMP1, TM4SF10	transmembrane protein 47	1	
TEX101	CT131, GTPR867, NYD-SP8, PRO1884, SGRG, SPATA44, TES101RP	testis expressed 101	1	
FAM167A	C8orf13, D8S265	family with sequence similarity 167, member A	4	
LINC00208	C8orf14, NCRNA00208, VIR35	long intergenic non-protein coding RNA 208	1	
JAM3	JAM-2, JAM-3, JAM-C, JAMC	junctional adhesion molecule 3	1	
TRPT1		tRNA phosphotransferase 1	1	
INHBE		inhibin, beta E	5	
SLC25A18	GC2	solute carrier family 25 (glutamate carrier), member 18	1	
ITCH	ADMFD, AIF4, AIP4, NAPP1	itchy E3 ubiquitin protein ligase	2	
CDCA7	JPO1	cell division cycle associated 7	1	
STK40	SHIK, SgK495	serine/threonine kinase 40	1	
HDAC10	HD10	histone deacetylase 10	1	
NCALD		neurocalcin delta	1	
REG4	GISP, REG-IV, RELP	regenerating islet-derived family, member 4	1	
ANKRD27	PP12899, VARP	ankyrin repeat domain 27 (VPS9 domain)	1	
RAB6C	WTH3	RAB6C, member RAS oncogene family	1	
C4orf17		chromosome 4 open reading frame 17	1	
PPP1R1B	DARPP-32, DARPP32	protein phosphatase 1, regulatory (inhibitor) subunit 1B	1	
ARID5B	DESRT, MRF-2, MRF2	AT rich interactive domain 5B (MRF1-like)	2	
KIAA1109	FSA, Tweek	KIAA1109	4	
NBPF3	AE2	neuroblastoma breakpoint family, member 3	1	
YIPF4	FinGER4, Nbla11189	Yip1 domain family, member 4	1	
COQ5		coenzyme Q5, methyltransferase	1	
TMEM79	MATT	transmembrane protein 79	1	
TMEM175		transmembrane protein 175	1	
CCDC115	ccp1	coiled-coil domain containing 115	1	
CARD11	BENTA, BIMP3, CARMA1, IMD11, PPBL	caspase recruitment domain family, member 11	5	
MAML2	MAM-3, MAM2, MAM3, MLL-MAML2	mastermind-like 2 (Drosophila)	1	
SYVN1	DER3, HRD1	synovial apoptosis inhibitor 1, synoviolin	1	
FBN3		fibrillin 3	1	
FAM120B	CCPG, KIAA1838, PGCC1, dJ894D12.1	family with sequence similarity 120B	1	
HOPX	CAMEO, HOD, HOP, LAGY, NECC1, OB1, SMAP31, TOTO	HOP homeobox	1	
KIAA1841		KIAA1841	2	
MRPL43	L43mt, MRP-L43, bMRP36a	mitochondrial ribosomal protein L43	1	
MAP1LC3A	ATG8E, LC3, LC3A, MAP1ALC3, MAP1BLC3	microtubule-associated protein 1 light chain 3 alpha	5	
MT4	MT-4, MT-IV, MTIV	metallothionein 4	1	
SLC12A8	CCC9	solute carrier family 12, member 8	1	
COL25A1	AMY, CFEOM5, CLAC, CLAC-P, CLACP	collagen, type XXV, alpha 1	1	
NT5C1A	CN-I, CN-IA, CN1, CN1A, CNI	5'-nucleotidase, cytosolic IA	1	
ZGPAT	GPATC6, GPATCH6, KIAA1847, ZC3H9, ZC3HDC9, ZIP	zinc finger, CCCH-type with G patch domain	3	
NTNG2	LHLL9381, Lmnt2, NTNG1, bA479K20.1	netrin G2	1	
GPR174	FKSG79, GPCR17, LYPSR3	G protein-coupled receptor 174	1	
IL1F10	FIL1-theta, FKSG75, IL-1HY2, IL-38, IL1-theta, IL1HY2	interleukin 1 family, member 10 (theta)	4	
LCE3D	LEP16, SPRL6A, SPRL6B	late cornified envelope 3D	1	
CCDC62	CT109, ERAP75, TSP-NY	coiled-coil domain containing 62	1	
FAM126A	DRCTNNB1A, HCC, HLD5, HYCC1	family with sequence similarity 126, member A	1	
CNDP1	CN1, CPGL2, HsT2308	carnosine dipeptidase 1 (metallopeptidase M20 family)	1	
MPV17L2	FKSG24	MPV17 mitochondrial membrane protein-like 2	1	
AGPAT9	AGPAT 10, AGPAT8, GPAT3, HMFN0839, LPAAT-theta, MAG1	1-acylglycerol-3-phosphate O-acyltransferase 9	2	
BUD13	Cwc26, fSAP71	BUD13 homolog	1	
FCRLA	FCRL, FCRL1, FCRLM1, FCRLX, FCRLb, FCRLc1, FCRLc2, FCRLd, FCRLe, FCRX, FREB	Fc receptor-like A	3	
RAX2	ARMD6, CORD11, QRX, RAXL1	retina and anterior neural fold homeobox 2	1	
HAVCR2	CD366, HAVcr-2, KIM-3, TIM3, TIMD-3, TIMD3, Tim-3	hepatitis A virus cellular receptor 2	7	
RSPO3	CRISTIN1, PWTSR, THSD2	R-spondin 3	1	
ORAI1	CRACM1, IMD9, ORAT1, TAM2, TMEM142A	ORAI calcium release-activated calcium modulator 1	3	
ADO	C10orf22	2-aminoethanethiol (cysteamine) dioxygenase	2	
LINGO1	LERN1, LRRN6A, UNQ201	leucine rich repeat and Ig domain containing 1	2	
FIZ1	ZNF798	FLT3-interacting zinc finger 1	1	
ZNRF1	NIN283	zinc and ring finger 1, E3 ubiquitin protein ligase	1	
WDR73	GAMOS, HSPC264	WD repeat domain 73	1	
UBASH3B	STS-1, STS1, TULA-2, TULA2, p70	ubiquitin associated and SH3 domain containing B	2	
FBXL20	Fbl2, Fbl20	F-box and leucine-rich repeat protein 20	1	
RBM17	SPF45	RNA binding motif protein 17	1	
PPIL4	HDCME13P	peptidylprolyl isomerase (cyclophilin)-like 4	1	
BAGE2	CT2.2	B melanoma antigen family, member 2	1	
ABCC11	EWWD, MRP8, WW	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	1	
KRT88P	HBC, KRT122P, KRTHBP3	keratin 88 pseudogene	2	
TRIM5	RNF88, TRIM5alpha	tripartite motif containing 5	1	
RIMBP3	RIM-BP3, RIM-BP3.1, RIM-BP3.A, RIMBP3.1, RIMBP3A	RIMS binding protein 3	1	
NKD1	Naked1	naked cuticle homolog 1 (Drosophila)	1	
SLC45A3	IPCA-2, IPCA-6, IPCA-8, IPCA6, PCANAP2, PCANAP6, PCANAP8, PRST	solute carrier family 45, member 3	1	
CNTNAP4	CASPR4	contactin associated protein-like 4	1	
TSLP		thymic stromal lymphopoietin	11	
WNT3A		wingless-type MMTV integration site family, member 3A	2	
HPS4	LE	Hermansky-Pudlak syndrome 4	1	
NAV1	POMFIL3, STEERIN1, UNC53H1	neuron navigator 1	1	
ATG16L2	ATG16B, WDR80	autophagy related 16-like 2	2	
SYT8		synaptotagmin VIII	1	
KCNH7	ERG3, HERG3, Kv11.3	potassium channel, voltage gated eag related subfamily H, member 7	1	
HS6ST2		heparan sulfate 6-O-sulfotransferase 2	1	
UCN2	SRP, UCN-II, UCNI, UR, URP	urocortin 2	2	
C5orf30		chromosome 5 open reading frame 30	1	
MED30	MED30S, THRAP6, TRAP25	mediator complex subunit 30	1	
LOC90768		uncharacterized LOC90768	1	
TMEM55B	C14orf9	transmembrane protein 55B	1	
IL33	C9orf26, DVS27, IL1F11, NF-HEV, NFEHEV	interleukin 33	20	
ESAM	W117m	endothelial cell adhesion molecule	1	
AP5B1	AP-5, PP1030	adaptor-related protein complex 5, beta 1 subunit	1	
ANKRD44	PP6-ARS-B	ankyrin repeat domain 44	1	
RSAD2	2510004L01Rik, cig33, cig5, vig1	radical S-adenosyl methionine domain containing 2	1	
NLRP12	CLR19.3, FCAS2, NALP12, PAN6, PYPAF7, RNO, RNO2	NLR family, pyrin domain containing 12	2	
KIAA1919	MFSD4B, NaGLT1	KIAA1919	1	
MYLK3	MLCK, MLCK2, caMLCK	myosin light chain kinase 3	2	
TIMD4	SMUCKLER, TIM4	T-cell immunoglobulin and mucin domain containing 4	2	
ZNF300		zinc finger protein 300	1	
LINC01278		long intergenic non-protein coding RNA 1278	1	
G6PC3	SCN4, UGRP	glucose 6 phosphatase, catalytic, 3	1	
DNER	UNQ26, bet	delta/notch-like EGF repeat containing	1	
BPIFB1	C20orf114, LPLUNC1	BPI fold containing family B, member 1	1	
PGAP3	AGLA546, CAB2, PERLD1, PP1498, hCOS16	post-GPI attachment to proteins 3	1	
CGB5	HCG	chorionic gonadotropin, beta polypeptide 5	2	
FOXP2	CAGH44, SPCH1, TNRC10	forkhead box P2	1	
MUC16	CA125	mucin 16, cell surface associated	2	
ORMDL3		ORMDL sphingolipid biosynthesis regulator 3	5	
PPP1R14A	CPI-17, CPI17, PPP1INL	protein phosphatase 1, regulatory (inhibitor) subunit 14A	1	
NRCLP2	NRCLP	Narcolepsy, HLA-associated	1	
EGLN3	HIFP4H3, HIFPH3, PHD3	egl-9 family hypoxia-inducible factor 3	1	
PRKCDBP	CAVIN3, HSRBC, SRBC, cavin-3	protein kinase C, delta binding protein	1	
IL17F	CANDF6, IL-17F, ML-1, ML1	interleukin 17F	13	
STX1B	GEFSP9, STX1B1, STX1B2	syntaxin 1B	1	
CCDC101	SGF29, STAF36	coiled-coil domain containing 101	1	
AHNAK2	C14orf78	AHNAK nucleoprotein 2	1	
SLC46A1	G21, HCP1, PCFT	solute carrier family 46 (folate transporter), member 1	1	
GLCCI1	FAM117C, GCTR, GIG18, TSSN1	glucocorticoid induced 1	1	
SLC2A13	HMIT	solute carrier family 2 (facilitated glucose transporter), member 13	2	
ATOD6		Dermatitis, atopic, 6	1	
NLRP3	AGTAVPRL, AII, AVP, C1orf7, CIAS1, CLR1.1, FCAS, FCAS1, FCU, MWS, NALP3, PYPAF1	NLR family, pyrin domain containing 3	18	
TIRAP	BACTS1, Mal, MyD88-2, wyatt	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	3	
PGLYRP3	PGLYRPIalpha, PGRP-Ialpha, PGRPIA	peptidoglycan recognition protein 3	1	
KLHL32	BKLHD5, KIAA1900, UG0030H05, dJ21F7.1	kelch-like family member 32	1	
SLAMF6	CD352, KALI, KALIb, Ly108, NTB-A, NTBA, SF2000	SLAM family member 6	3	
OSBPL10	ORP10, OSBP9	oxysterol binding protein-like 10	1	
C1QTNF6	CTFP6, CTRP6, ZACRP6	C1q and tumor necrosis factor related protein 6	4	
MB21D1	C6orf150, cGAS, h-cGAS	Mab-21 domain containing 1	1	
FCRL1	CD307a, FCRH1, IFGP1, IRTA5	Fc receptor-like 1	3	
FCRL3	CD307c, FCRH3, IFGP3, IRTA3, SPAP2	Fc receptor-like 3	9	
SLC5A11	KST1, RKST1, SGLT6, SMIT2	solute carrier family 5 (sodium/inositol cotransporter), member 11	1	
TNFRSF13C	BAFF-R, BAFFR, BROMIX, CD268, CVID4, prolixin	tumor necrosis factor receptor superfamily, member 13C	5	
ALPK2	HAK	alpha-kinase 2	1	
RASGRP4		RAS guanyl releasing protein 4	1	
ARL11	ARLTS1	ADP-ribosylation factor-like 11	1	
RMI2	BLAP18, C16orf75	RecQ mediated genome instability 2	1	
PHACTR3	C20orf101, H17739, PPP1R123, SCAPIN1, SCAPININ	phosphatase and actin regulator 3	1	
IL22RA2	CRF2-10, CRF2-S1, CRF2X, IL-22BP, IL-22R-alpha-2, IL-22RA2, ZCYTOR16	interleukin 22 receptor, alpha 2	3	
OLIG1	BHLHB6, BHLHE21	oligodendrocyte transcription factor 1	1	
CLNK	MIST	cytokine-dependent hematopoietic cell linker	2	
MRGPRE	GPR167, MGRF, MRGE	MAS-related GPR, member E	1	
LRG1	HMFT1766, LRG	leucine-rich alpha-2-glycoprotein 1	2	
ACAP3	CENTB5	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1	
ARAP2	CENTD1, PARX	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	1	
ARAP1	CENTD2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	1	
AGAP2	CENTG1, GGAP2, PIKE	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	1	
SCGB3A2	LU103, PNSP1, UGRP1, pnSP-1	secretoglobin, family 3A, member 2	1	
ATOD3		Dermatitis, atopic, 3	1	
ATOD5	ATPD5	Dermatitis, atopic, 5	1	
GRDX	GD3	Graves disease, susceptibility to, X-linked	2	
IP6K3	IHPK3, INSP6K3	inositol hexakisphosphate kinase 3	1	
TAGAP	ARHGAP47, FKSG15, IDDM21, TAGAP1	T-cell activation RhoGTPase activating protein	6	
TMC2	C20orf145, dJ686C3.3	transmembrane channel-like 2	1	
LOH12CR1	LOH1CR12	loss of heterozygosity, 12, chromosomal region 1	1	
ANTXR2	CMG-2, CMG2, HFS, ISH, JHF	anthrax toxin receptor 2	1	
SFXN2		sideroflexin 2	1	
C10orf32		chromosome 10 open reading frame 32	1	
CLRN3	TMEM12, USH3AL1	clarin 3	1	
CPXM2	CPX2, UNQ676	carboxypeptidase X (M14 family), member 2	1	
CYP2R1		cytochrome P450, family 2, subfamily R, polypeptide 1	2	
NXPE1	FAM55A	neurexophilin and PC-esterase domain family, member 1	2	
CYCSP25	HC10, HCP25	cytochrome c, somatic pseudogene 25	1	
LRRK2	AURA17, DARDARIN, PARK8, RIPK7, ROCO2	leucine-rich repeat kinase 2	5	
CCDC38		coiled-coil domain containing 38	1	
SLC15A4	FP12591, PHT1, PTR4	solute carrier family 15 (oligopeptide transporter), member 4	2	
TPH2	ADHD7, NTPH	tryptophan hydroxylase 2	2	
RXFP2	GPR106, GREAT, INSL3R, LGR8, LGR8.1, RXFPR2	relaxin/insulin-like family peptide receptor 2	1	
PLD4	C14orf175	phospholipase D family, member 4	2	
TPPP2	C14orf8, CT152, P18, p25beta	tubulin polymerization-promoting protein family member 2	1	
NTAN1	PNAA, PNAD	N-terminal asparagine amidase	1	
SNX20	SLIC1	sorting nexin 20	2	
ZPBP2	ZPBPL	zona pellucida binding protein 2	4	
RN7SK	7SK	RNA, 7SK small nuclear	1	
ZNF816	ZNF816A	zinc finger protein 816	1	
OSCAR	PIGR3, PIgR-3	osteoclast associated, immunoglobulin-like receptor	1	
NLRP5	CLR19.8, MATER, NALP5, PAN11, PYPAF8	NLR family, pyrin domain containing 5	1	
HSPB6	HEL55, Hsp20, PPP1R91	heat shock protein, alpha-crystallin-related, B6	1	
TCHHL1	S100A17, THHL1	trichohyalin-like 1	1	
RPTN		repetin	1	
PUSL1		pseudouridylate synthase-like 1	1	
AXDND1	C1orf125	axonemal dynein light chain domain containing 1	1	
IFFO2		intermediate filament family orphan 2	1	
C1orf87	CREF	chromosome 1 open reading frame 87	1	
SYT2	CMS7, MYSPC, SytII	synaptotagmin II	1	
TSHZ2	C20orf17, OVC10-2, TSH2, ZABC2, ZNF218	teashirt zinc finger homeobox 2	1	
ZNF831	C20orf174, dJ492J12.1	zinc finger protein 831	1	
CMPK2	TMPK2, TYKi, UMP-CMPK2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	1	
RBM45	DRB1, RB-1	RNA binding motif protein 45	1	
ACMSD		aminocarboxymuconate semialdehyde decarboxylase	1	
RFTN2	C2orf11, Raftlin-2	raftlin family member 2	1	
AP1S3	PSORS15	adaptor-related protein complex 1, sigma 3 subunit	1	
ALS2CR12		amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12	1	
AHSA2	Hch1	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	2	
FAM3D	EF7, OIT1	family with sequence similarity 3, member D	1	
CD200R1	CD200R, HCRTR2, MOX2R, OX2R	CD200 receptor 1	5	
ADAD1	Tenr	adenosine deaminase domain containing 1 (testis-specific)	4	
SPATA18	Mieap, SPETEX1	spermatogenesis associated 18	1	
IL31RA	CRL, CRL3, GLM-R, GLMR, GPL, IL-31RA, PLCA2, PRO21384, hGLM-R	interleukin 31 receptor A	2	
SLCO6A1	CT48, GST, OATP-I, OATP6A1, OATPY	solute carrier organic anion transporter family, member 6A1	1	
PPARGC1B	ERRL1, PERC, PGC-1(beta), PGC1B	peroxisome proliferator-activated receptor gamma, coactivator 1 beta	2	
CAPSL		calcyphosine-like	2	
MRPL11P2		mitochondrial ribosomal protein L11 pseudogene 2	1	
STARD4		StAR-related lipid transfer (START) domain containing 4	2	
WDR36	GLC1G, TA-WDRP, TAWDRP, UTP21	WD repeat domain 36	2	
ZNF300P1		zinc finger protein 300 pseudogene 1 (functional)	1	
TAAR1	TA1, TAR1, TRAR1	trace amine associated receptor 1	1	
NCOA7	ERAP140, ESNA1, NCOA7-AS, Nbla00052, Nbla10993, TLDC4, dJ187J11.3	nuclear receptor coactivator 7	1	
PACRG	GLUP, HAK005771, PARK2CRG	PARK2 co-regulated	2	
CD109	CPAMD7, p180, r150	CD109 molecule	1	
UBXN2B	p37	UBX domain protein 2B	1	
GAB3		GRB2-associated binding protein 3	1	
PSORS8		psoriasis susceptibility 8	1	
DEFB104A	BD-4, DEFB-4, DEFB104, DEFB4, hBD-4	defensin, beta 104A	2	
ZBTB46	BTBD4, BZEL, RINZF, ZNF340, dJ583P15.7, dJ583P15.8	zinc finger and BTB domain containing 46	2	
ADAMTS14		ADAM metallopeptidase with thrombospondin type 1 motif, 14	1	
NRSN1	VMP, p24	neurensin 1	1	
HT		Hashimoto thyroiditis	1	
ISM1	C20orf82, ISM, Isthmin, bA149I18.1, dJ1077I2.1	isthmin 1, angiogenesis inhibitor	1	
SIRPA	BIT, CD172A, MFR, MYD-1, P84, PTPNS1, SHPS1, SIRP	signal-regulatory protein alpha	1	
DCANP1	C5orf20, DCNP1	dendritic cell-associated nuclear protein	1	
VTI1A	MMDS3, MVti1, VTI1RP2, Vti1-rp2	vesicle transport through interaction with t-SNAREs 1A	1	
PSMA8	PSMA7L	proteasome (prosome, macropain) subunit, alpha type, 8	1	
LACC1	C13orf31	laccase (multicopper oxidoreductase) domain containing 1	4	
SERPINA12	OL-64	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12	5	
